voiceId,cueKey,path,durationMs,fileSizeBytes,codec,sampleRateHz,channels,inManifest,hasCueDefinition,pairedVoiceAssetExists,pairedDurationDeltaMs,status,notes
clara,num-29,assets/audio/voice/clara/num-29.mp3,882,15090,mp3,44100,1,true,true,true,-47,ok,
clara,num-3,assets/audio/voice/clara/num-3.mp3,697,12164,mp3,44100,1,true,true,true,47,ok,
clara,num-30,assets/audio/voice/clara/num-30.mp3,836,14254,mp3,44100,1,true,true,true,47,ok,
clara,num-31,assets/audio/voice/clara/num-31.mp3,836,14254,mp3,44100,1,true,true,true,47,ok,
clara,num-32,assets/audio/voice/clara/num-32.mp3,882,15090,mp3,44100,1,true,true,true,0,ok,
clara,num-33,assets/audio/voice/clara/num-33.mp3,975,16762,mp3,44100,1,true,true,true,0,ok,
clara,num-34,assets/audio/voice/clara/num-34.mp3,929,15926,mp3,44100,1,true,true,true,-93,ok,
clara,num-35,assets/audio/voice/clara/num-35.mp3,1022,17598,mp3,44100,1,true,true,true,47,ok,
clara,num-36,assets/audio/voice/clara/num-36.mp3,975,16762,mp3,44100,1,true,true,true,93,ok,
clara,num-37,assets/audio/voice/clara/num-37.mp3,929,15926,mp3,44100,1,true,true,true,47,ok,
clara,num-38,assets/audio/voice/clara/num-38.mp3,882,15090,mp3,44100,1,true,true,true,46,ok,
clara,num-39,assets/audio/voice/clara/num-39.mp3,929,15926,mp3,44100,1,true,true,true,47,ok,
clara,num-4,assets/audio/voice/clara/num-4.mp3,604,10911,mp3,44100,1,true,true,true,47,ok,
clara,num-40,assets/audio/voice/clara/num-40.mp3,836,14254,mp3,44100,1,true,true,true,93,ok,
clara,num-5,assets/audio/voice/clara/num-5.mp3,789,13836,mp3,44100,1,true,true,true,46,ok,
clara,num-6,assets/audio/voice/clara/num-6.mp3,650,11328,mp3,44100,1,true,true,true,-47,ok,
clara,num-7,assets/audio/voice/clara/num-7.mp3,697,12164,mp3,44100,1,true,true,true,47,ok,
clara,num-8,assets/audio/voice/clara/num-8.mp3,650,11328,mp3,44100,1,true,true,true,46,ok,
clara,num-9,assets/audio/voice/clara/num-9.mp3,697,12164,mp3,44100,1,true,true,true,47,ok,
clara,open-your-eyes,assets/audio/voice/clara/open-your-eyes.mp3,1440,24285,mp3,44100,1,true,true,true,140,ok,
clara,relax-arm,assets/audio/voice/clara/relax-arm.mp3,2368,38914,mp3,44100,1,true,true,true,185,ok,
clara,rest-now,assets/audio/voice/clara/rest-now.mp3,1440,24285,mp3,44100,1,true,true,true,-278,ok,
clara,session-complete,assets/audio/voice/clara/session-complete.mp3,4737,76948,mp3,44100,1,true,true,true,47,ok,
clara,set-done,assets/audio/voice/clara/set-done.mp3,929,15926,mp3,44100,1,true,true,true,93,ok,
clara,shoulder-intro,assets/audio/voice/clara/shoulder-intro.mp3,6594,106623,mp3,44100,1,true,true,true,510,ok,
clara,shoulder-setup,assets/audio/voice/clara/shoulder-setup.mp3,6362,102862,mp3,44100,1,true,true,true,-186,ok,
clara,stand-tall,assets/audio/voice/clara/stand-tall.mp3,2926,47691,mp3,44100,1,true,true,true,558,ok,
clara,stands-suffix,assets/audio/voice/clara/stands-suffix.mp3,1625,27211,mp3,44100,1,true,true,true,92,ok,
clara,step_clear_dry_area,assets/audio/voice/clara/step_clear_dry_area.mp3,2879,47273,mp3,44100,1,true,true,true,46,ok,
clara,step_controlled_return,assets/audio/voice/clara/step_controlled_return.mp3,3111,51035,mp3,44100,1,true,true,true,-93,ok,
clara,step_fixed_support_nearby,assets/audio/voice/clara/step_fixed_support_nearby.mp3,3901,63573,mp3,44100,1,true,true,true,279,ok,
clara,step_phone_out_of_path,assets/audio/voice/clara/step_phone_out_of_path.mp3,2786,45601,mp3,44100,1,true,true,true,-140,ok,
clara,step_stop_if_unstable,assets/audio/voice/clara/step_stop_if_unstable.mp3,3715,60648,mp3,44100,1,true,true,true,-232,ok,
clara,step_use_low_stable_step,assets/audio/voice/clara/step_use_low_stable_step.mp3,2740,44765,mp3,44100,1,true,true,true,186,ok,
clara,step-back,assets/audio/voice/clara/step-back.mp3,1440,24285,mp3,44100,1,true,true,true,93,ok,
clara,step-closer,assets/audio/voice/clara/step-closer.mp3,1579,26375,mp3,44100,1,true,true,true,139,ok,
clara,step-into-frame,assets/audio/voice/clara/step-into-frame.mp3,2926,47691,mp3,44100,1,true,true,true,-325,ok,
clara,support_keep_support_within_reach,assets/audio/voice/clara/support_keep_support_within_reach.mp3,2740,44765,mp3,44100,1,true,true,true,-93,ok,
clara,support_use_sturdy_support,assets/audio/voice/clara/support_use_sturdy_support.mp3,3158,51453,mp3,44100,1,true,true,true,-139,ok,
clara,thats-your-set,assets/audio/voice/clara/thats-your-set.mp3,1486,24703,mp3,44100,1,true,true,true,0,ok,
clara,time-to-retest,assets/audio/voice/clara/time-to-retest.mp3,5341,86561,mp3,44100,1,true,true,true,-278,ok,
clara,times-up,assets/audio/voice/clara/times-up.mp3,2276,37660,mp3,44100,1,true,true,true,326,ok,
clara,tracking_keep_full_body_in_view,assets/audio/voice/clara/tracking_keep_full_body_in_view.mp3,3297,53960,mp3,44100,1,true,true,true,371,ok,
clara,tracking_move_when_cued,assets/audio/voice/clara/tracking_move_when_cued.mp3,2136,35152,mp3,44100,1,true,true,true,-47,ok,
clara,tracking_no_rush_or_exaggerate,assets/audio/voice/clara/tracking_no_rush_or_exaggerate.mp3,3529,57722,mp3,44100,1,true,true,true,325,ok,
clara,tracking_pause_and_reset,assets/audio/voice/clara/tracking_pause_and_reset.mp3,4505,73186,mp3,44100,1,true,true,true,186,ok,
clara,training-intro,assets/audio/voice/clara/training-intro.mp3,8638,139224,mp3,44100,1,true,true,true,1765,ok,
clara,tug-intro,assets/audio/voice/clara/tug-intro.mp3,6920,111639,mp3,44100,1,true,true,true,186,ok,
clara,tug-setup,assets/audio/voice/clara/tug-setup.mp3,9613,154688,mp3,44100,1,true,true,true,1765,ok,
clara,turn-on-light,assets/audio/voice/clara/turn-on-light.mp3,3019,49363,mp3,44100,1,true,true,true,558,ok,
clara,turn-side-on,assets/audio/voice/clara/turn-side-on.mp3,3344,54378,mp3,44100,1,true,true,true,-93,ok,
clara,you-completed,assets/audio/voice/clara/you-completed.mp3,929,15926,mp3,44100,1,true,true,true,140,ok,
marcus,balance_no_eyes_closed_or_unstable_surface,assets/audio/voice/marcus/balance_no_eyes_closed_or_unstable_surface.mp3,3901,63573,mp3,44100,1,true,true,true,-46,ok,
marcus,balance_stop_if_unsteady,assets/audio/voice/marcus/balance_stop_if_unsteady.mp3,2879,47273,mp3,44100,1,true,true,true,325,ok,
marcus,balance_support_within_reach,assets/audio/voice/marcus/balance_support_within_reach.mp3,3855,62737,mp3,44100,1,true,true,true,140,ok,
marcus,balance_supported_if_hesitant,assets/audio/voice/marcus/balance_supported_if_hesitant.mp3,2043,33898,mp3,44100,1,true,true,true,-325,ok,
marcus,balance-feet-together,assets/audio/voice/marcus/balance-feet-together.mp3,2229,36824,mp3,44100,1,true,true,true,-325,ok,
marcus,balance-intro,assets/audio/voice/marcus/balance-intro.mp3,8313,134208,mp3,44100,1,true,true,true,-418,ok,
marcus,balance-semi-tandem,assets/audio/voice/marcus/balance-semi-tandem.mp3,4876,79038,mp3,44100,1,true,true,true,511,ok,
marcus,balance-setup,assets/audio/voice/marcus/balance-setup.mp3,6455,104533,mp3,44100,1,true,true,true,-743,ok,
marcus,balance-single-leg,assets/audio/voice/marcus/balance-single-leg.mp3,3251,53124,mp3,44100,1,true,true,true,47,ok,
marcus,balance-tandem,assets/audio/voice/marcus/balance-tandem.mp3,2972,48527,mp3,44100,1,true,true,true,-186,ok,
marcus,band_anchor_feet_secure,assets/audio/voice/marcus/band_anchor_feet_secure.mp3,4133,67335,mp3,44100,1,true,true,true,-139,ok,
marcus,band_controlled_return,assets/audio/voice/marcus/band_controlled_return.mp3,2229,36824,mp3,44100,1,true,true,true,232,ok,
marcus,band_do_not_overstretch,assets/audio/voice/marcus/band_do_not_overstretch.mp3,3111,51035,mp3,44100,1,true,true,true,92,ok,
marcus,band_face_and_eyes_clear,assets/audio/voice/marcus/band_face_and_eyes_clear.mp3,2322,38078,mp3,44100,1,true,true,true,-279,ok,
marcus,band_inspect_before_use,assets/audio/voice/marcus/band_inspect_before_use.mp3,4412,71515,mp3,44100,1,true,true,true,-186,ok,
marcus,band_never_release_under_tension,assets/audio/voice/marcus/band_never_release_under_tension.mp3,1858,30973,mp3,44100,1,true,true,true,-46,ok,
marcus,band_secure_grip,assets/audio/voice/marcus/band_secure_grip.mp3,2833,46437,mp3,44100,1,true,true,true,47,ok,
marcus,band_stable_stance,assets/audio/voice/marcus/band_stable_stance.mp3,3344,54378,mp3,44100,1,true,true,true,233,ok,
marcus,band_stop_if_slips_or_shifts,assets/audio/voice/marcus/band_stop_if_slips_or_shifts.mp3,5155,83635,mp3,44100,1,true,true,true,418,ok,
marcus,center-yourself,assets/audio/voice/marcus/center-yourself.mp3,1858,30973,mp3,44100,1,true,true,true,93,ok,
marcus,chair_controlled_sit,assets/audio/voice/marcus/chair_controlled_sit.mp3,2926,47691,mp3,44100,1,true,true,true,232,ok,
marcus,chair_use_sturdy_chair,assets/audio/voice/marcus/chair_use_sturdy_chair.mp3,2833,46437,mp3,44100,1,true,true,true,232,ok,
marcus,chair-stand-intro,assets/audio/voice/marcus/chair-stand-intro.mp3,9845,158450,mp3,44100,1,true,true,true,1068,ok,
marcus,chair-stand-setup,assets/audio/voice/marcus/chair-stand-setup.mp3,8963,144657,mp3,44100,1,true,true,true,650,ok,
marcus,checkup-complete,assets/audio/voice/marcus/checkup-complete.mp3,4319,70261,mp3,44100,1,true,true,true,-464,ok,
marcus,checkup-intro,assets/audio/voice/marcus/checkup-intro.mp3,9334,150509,mp3,44100,1,true,true,true,-140,ok,
marcus,close-your-eyes,assets/audio/voice/marcus/close-your-eyes.mp3,2276,37660,mp3,44100,1,true,true,true,0,ok,
marcus,comfortable_range_only,assets/audio/voice/marcus/comfortable_range_only.mp3,1858,30973,mp3,44100,1,true,true,true,-232,ok,
marcus,cooldown-now,assets/audio/voice/marcus/cooldown-now.mp3,2461,40586,mp3,44100,1,true,true,true,185,ok,
marcus,countdown-one,assets/audio/voice/marcus/countdown-one.mp3,511,9239,mp3,44100,1,true,true,true,0,ok,
marcus,countdown-three,assets/audio/voice/marcus/countdown-three.mp3,650,11328,mp3,44100,1,true,true,true,-47,ok,
marcus,countdown-two,assets/audio/voice/marcus/countdown-two.mp3,650,11328,mp3,44100,1,true,true,true,46,ok,
marcus,door_anchor_follow_manufacturer_setup,assets/audio/voice/marcus/door_anchor_follow_manufacturer_setup.mp3,3251,53124,mp3,44100,1,true,true,true,-604,ok,
marcus,door_anchor_fully_closed,assets/audio/voice/marcus/door_anchor_fully_closed.mp3,2786,45601,mp3,44100,1,true,true,true,-511,ok,
marcus,door_anchor_stay_out_of_door_path,assets/audio/voice/marcus/door_anchor_stay_out_of_door_path.mp3,3390,55214,mp3,44100,1,true,true,true,46,ok,
marcus,door_anchor_stop_if_moves,assets/audio/voice/marcus/door_anchor_stop_if_moves.mp3,3855,62737,mp3,44100,1,true,true,true,-743,ok,
marcus,door_anchor_test_light_tension,assets/audio/voice/marcus/door_anchor_test_light_tension.mp3,3251,53124,mp3,44100,1,true,true,true,-46,ok,
marcus,ex-balance,assets/audio/voice/marcus/ex-balance.mp3,6548,105787,mp3,44100,1,true,true,true,-882,ok,
marcus,ex-glute-bridge,assets/audio/voice/marcus/ex-glute-bridge.mp3,8266,133373,mp3,44100,1,true,true,true,418,ok,
marcus,ex-hamstring-reach,assets/audio/voice/marcus/ex-hamstring-reach.mp3,8824,142150,mp3,44100,1,true,true,true,-1579,ok,
marcus,ex-heel-raise,assets/audio/voice/marcus/ex-heel-raise.mp3,7663,123759,mp3,44100,1,true,true,true,-1207,ok,
marcus,ex-hip-hinge,assets/audio/voice/marcus/ex-hip-hinge.mp3,10031,161376,mp3,44100,1,true,true,true,929,ok,
marcus,ex-march,assets/audio/voice/marcus/ex-march.mp3,6316,102026,mp3,44100,1,true,true,true,-836,ok,
marcus,ex-neck-rotation,assets/audio/voice/marcus/ex-neck-rotation.mp3,7616,122924,mp3,44100,1,true,true,true,325,ok,
marcus,ex-overhead,assets/audio/voice/marcus/ex-overhead.mp3,5991,97010,mp3,44100,1,true,true,true,-46,ok,
marcus,ex-push-up,assets/audio/voice/marcus/ex-push-up.mp3,7198,116236,mp3,44100,1,true,true,true,-372,ok,
marcus,ex-sit-to-stand,assets/audio/voice/marcus/ex-sit-to-stand.mp3,7848,126685,mp3,44100,1,true,true,true,-697,ok,
marcus,ex-squat,assets/audio/voice/marcus/ex-squat.mp3,7477,120834,mp3,44100,1,true,true,true,-1486,ok,
marcus,ex-step-up,assets/audio/voice/marcus/ex-step-up.mp3,8545,137970,mp3,44100,1,true,true,true,-650,ok,
marcus,exercise-skipped,assets/audio/voice/marcus/exercise-skipped.mp3,2879,47273,mp3,44100,1,true,true,true,-186,ok,
marcus,face-forward,assets/audio/voice/marcus/face-forward.mp3,3019,49363,mp3,44100,1,true,true,true,233,ok,
marcus,floor_clear_space,assets/audio/voice/marcus/floor_clear_space.mp3,3344,54378,mp3,44100,1,true,true,true,-46,ok,
marcus,floor_slow_transition,assets/audio/voice/marcus/floor_slow_transition.mp3,3111,51035,mp3,44100,1,true,true,true,0,ok,
marcus,floor_stop_if_transfer_unsteady,assets/audio/voice/marcus/floor_stop_if_transfer_unsteady.mp3,4412,71515,mp3,44100,1,true,true,true,-418,ok,
marcus,floor_use_support_for_transfer,assets/audio/voice/marcus/floor_use_support_for_transfer.mp3,3065,50199,mp3,44100,1,true,true,true,-139,ok,
marcus,framing-ready,assets/audio/voice/marcus/framing-ready.mp3,1811,30137,mp3,44100,1,true,true,true,232,ok,
marcus,global_breathe_normally,assets/audio/voice/marcus/global_breathe_normally.mp3,2368,38914,mp3,44100,1,true,true,true,-326,ok,
marcus,global_clear_space,assets/audio/voice/marcus/global_clear_space.mp3,2647,43511,mp3,44100,1,true,true,true,279,ok,
marcus,global_pause_if_tracking_lost,assets/audio/voice/marcus/global_pause_if_tracking_lost.mp3,4180,67753,mp3,44100,1,true,true,true,-371,ok,
marcus,global_stop_dizzy_or_lightheaded,assets/audio/voice/marcus/global_stop_dizzy_or_lightheaded.mp3,3344,54378,mp3,44100,1,true,true,true,186,ok,
marcus,global_stop_if_support_moves,assets/audio/voice/marcus/global_stop_if_support_moves.mp3,3855,62737,mp3,44100,1,true,true,true,93,ok,
marcus,global_stop_sharp_or_increasing_pain,assets/audio/voice/marcus/global_stop_sharp_or_increasing_pain.mp3,3251,53124,mp3,44100,1,true,true,true,0,ok,
marcus,go,assets/audio/voice/marcus/go.mp3,604,10911,mp3,44100,1,true,true,true,0,ok,
marcus,hinge-intro,assets/audio/voice/marcus/hinge-intro.mp3,7012,113311,mp3,44100,1,true,true,true,418,ok,
marcus,hinge-setup,assets/audio/voice/marcus/hinge-setup.mp3,7338,118326,mp3,44100,1,true,true,true,140,ok,
marcus,hold-still,assets/audio/voice/marcus/hold-still.mp3,1997,33062,mp3,44100,1,true,true,true,47,ok,
marcus,item-complete,assets/audio/voice/marcus/item-complete.mp3,929,15926,mp3,44100,1,true,true,true,-93,ok,
