voiceId,cueKey,path,sha256,durationMs,codec,container,sampleRateHz,channels,bitRate,lufsI,loudnessRange,truePeakDbfs,leadingSilenceMs,trailingSilenceMs,decodeStatus,clippingFlag,baselineDurationPercentile,pairedDurationDeltaMs,outlierFlags,notes
"marcus","mpv2_balance_attempt_start","assets/audio/voice/marcus/mpv2_balance_attempt_start.mp3","a78a2d42ac8321cb0951da322f3298f67212340339b05177cd80c9338cffd287","4412","mp3","mp3","44100","1","128000","-17.0","4.7","-1.0","","223","ok","false","79.3","-325","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_balance_complete","assets/audio/voice/clara/mpv2_balance_complete.mp3","1a2a510b912032b701fbb8f1cf04b92661bf89384a6e9eba1705d17282e4a9f3","1393","mp3","mp3","44100","1","128000","-21.3","0.0","-3.3","66","185","ok","false","32","93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_balance_complete","assets/audio/voice/marcus/mpv2_balance_complete.mp3","f9ffcaaccc94f5becc0aeaa46bf0db22a8cede2e0e97f8312e5f3fd0c730fc6b","1300","mp3","mp3","44100","1","128000","-16.7","0.0","-0.8","","240","ok","false","32.7","-93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_balance_full_hold","assets/audio/voice/clara/mpv2_balance_full_hold.mp3","828e73b12c18aa94d881b97062010678f0e7921eaae7eaa6dab956cb19add7bf","2276","mp3","mp3","44100","1","128000","-21.7","0.0","-6.2","","190","ok","false","44","93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_balance_full_hold","assets/audio/voice/marcus/mpv2_balance_full_hold.mp3","d1ece4b507e73d507b76353715a8c4979c06790099cd8b31234f3aa3ccdec290","2183","mp3","mp3","44100","1","128000","-16.7","0.0","-1.5","","198","ok","false","44","-93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_balance_ready_after_30","assets/audio/voice/clara/mpv2_balance_ready_after_30.mp3","fb9a0c982aaf2f43fc685719be023e0c89b4429fd12fb61a1852d4b5bb13b522","2322","mp3","mp3","44100","1","128000","-19.9","0.0","-4.0","","263","ok","false","44","93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_balance_ready_after_30","assets/audio/voice/marcus/mpv2_balance_ready_after_30.mp3","327223dc0fb6be740392d837ad2b83f13d8df2c17d7ea89931e4dcf6f460e831","2229","mp3","mp3","44100","1","128000","-15.6","0.0","-0.7","","206","ok","false","45.3","-93","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_balance_ready_after_60","assets/audio/voice/clara/mpv2_balance_ready_after_60.mp3","c1f227cf9b222fe378f4d08ff19cf32ea2c18900fc0f7ec9e47c33b70146546f","1811","mp3","mp3","44100","1","128000","-20.2","0.0","-3.4","","221","ok","false","38.7","325","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_balance_ready_after_60","assets/audio/voice/marcus/mpv2_balance_ready_after_60.mp3","7bc2807280dd932d816c441761a341153d74526dd9e4a7f79d10a6275a74b859","1486","mp3","mp3","44100","1","128000","-12.9","0.0","-0.7","52","181","ok","false","34.7","-325","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_balance_rest","assets/audio/voice/clara/mpv2_balance_rest.mp3","05c77b0d43c4092ac7d178efa88c7a9c9c4f470ad34941b552f5e404ebe4686f","4180","mp3","mp3","44100","1","128000","-22.5","1.2","-1.7","","219","ok","false","74.7","93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
